Lifetime,Broken,Temperature,Voltage,Current,Humidity,Vibration - X,Vibration  Y,Vibration  Z,Machine Name,Machine ID,Failure Model,Responsible Failure Cause
56,1,30,230,1.5,28,0.404,0.956,9.125,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
81,1,30,230,1.5,28,1.004,1.143,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
60,0,30,230,1.5,34,0.469,1.29,9.121,CNC Turning -1,20210045,Healthy State,NA
86,1,30,230,1.5,34,0.373,1.112,9.137,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
30,0,30,230,1.5,31,0.461,1.282,9.121,CNC Turning -2,20210045,Healthy State,NA
68,1,30,230,1.5,28,0.373,1.355,8.709,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
23,1,29,229,1.6,28,0.469,1.802,9.141,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
81,1,29,229,1.6,29,0.373,1.159,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
38,0,29,229,1.6,28,0.412,1.243,9.133,CNC Turning -1,20210045,Healthy State,NA
29,1,29,229,1.6,28,0.336,0.909,9.148,CNC Turning -2,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
65,0,29,229,1.6,28,0.488,1.12,9.125,CNC Turning -1,20210045,Healthy State,NA
65,1,29,229,1.6,28,0.412,1.243,8.729,CNC Turning -2,20210046,Vibration Model,Z vibration is lower than Rated Z vibration
82,1,29,229,1.6,28,0.396,1.19,9.152,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
80,1,29,229,1.6,28,0.465,1.802,9.117,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
48,0,29,229,1.6,29,0.404,1.355,9.121,CNC Turning -2,20210045,Healthy State,NA
80,0,29,229,1.6,34,0.488,1.159,9.141,CNC Turning -1,20210045,Healthy State,NA
92,1,29,229,1.6,28,0.369,1.186,9.117,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
88,1,29,229,1.6,29,0.439,1.194,9.117,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
74,0,29,229,1.6,28,0.484,1.513,9.148,CNC Turning -2,20210046,Healthy State,NA
65,1,29,229,1.6,29,0.408,0.912,9.141,CNC Turning -2,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
61,0,29,229,1.6,30,0.336,1.235,10.101,CNC Turning -2,20210045,Healthy State,NA
35,0,29,229,1.6,28,0.488,1.166,9.125,CNC Turning -2,20210045,Healthy State,NA
26,1,28,228,1,29,0.465,1.156,8.713,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
63,1,29,229,1.6,28,0.332,1.159,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
88,1,28,228,1,29,0.392,1.131,9.125,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
79,0,28,228,1,29,0.373,1.133,9.148,CNC Turning -1,20210045,Healthy State,NA
53,1,28,228,1,29,0.431,1.802,9.145,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
73,0,28,228,1,29,0.484,1.235,9.125,CNC Turning -1,20210045,Healthy State,NA
60,0,28,228,1,29,0.484,1.504,9.137,CNC Turning -1,20210045,Healthy State,NA
34,1,28,228,1,29,0.431,0.912,9.129,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
36,0,28,228,1,29,0.465,1.148,9.152,CNC Turning -1,20210045,Healthy State,NA
80,1,28,228,1,35,0.412,1.802,9.129,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
65,1,29,229,2,28,0.408,0.908,9.133,CNC Turning -2,20210046,Vibration Model,Y vibration is lower than Rated Y vibration
31,0,28,228,1,35,0.465,1.129,9.164,CNC Turning -1,20210045,Healthy State,NA
74,0,28,228,1,30,0.404,1.145,9.121,CNC Turning -2,20210046,Healthy State,NA
25,0,28,228,1,35,0.408,1.504,9.121,CNC Turning -1,20210045,Healthy State,NA
58,0,28,228,1,30,0.484,1.127,9.121,CNC Turning -2,20210045,Healthy State,NA
80,1,28,228,1,30,0.431,1.97,9.117,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
65,0,28,228,1,29,0.377,1.151,9.152,CNC Turning -2,20210046,Healthy State,NA
19,1,28,228,0.8,29,0.48,1.494,9.117,CNC Turning -1,20210045,Electrical Model,Motor Current below the Motor Rated Voltage 
60,0,30,230,1.6,31,0.42,1.282,9.125,CNC Turning -2,20210046,Healthy State,NA
84,1,27,227,1.5,32,0.38,1.112,9.137,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
13,0,27,227,1.5,29,0.377,1.29,9.125,CNC Turning -2,20210045,Healthy State,NA
12,1,27,227,1.5,30,0.423,0.909,9.109,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
26,0,27,227,1.5,29,0.404,1.504,9.133,CNC Turning -2,20210045,Healthy State,NA
43,0,27,227,1.5,41,0.336,1.578,9.133,CNC Turning -1,20210045,Healthy State,NA
65,0,27,227,1.5,29,0.465,1.513,9.117,CNC Turning -1,20210045,Healthy State,NA
1,0,28,228,1.6,31,0.373,1.127,9.117,CNC Turning -1,20210045,Healthy State,NA
34,0,27,227,1.6,29,0.408,1.12,9.121,CNC Turning -2,20210045,Healthy State,NA
80,0,27,227,1.6,29,0.465,1.29,9.121,CNC Turning -2,20210046,Healthy State,NA
12,1,26,226,1.6,32,0.337,1.147,8.713,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
92,1,27,227,1.6,33,0.412,1.104,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
82,1,27,227,1.6,29,0.369,1.151,9.133,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
20,0,27,227,1.6,29,0.416,1.123,9.121,CNC Turning -1,20210045,Healthy State,NA
16,0,27,227,1.6,32,0.488,1.121,9.156,CNC Turning -1,20210045,Healthy State,NA
3,0,26,226,1.6,30,0.332,1.235,9.137,CNC Turning -1,20210045,Healthy State,NA
7,0,26,226,1.6,30,0.332,1.494,9.156,CNC Turning -1,20210045,Healthy State,NA
47,1,26,226,1.6,30,0.469,1.586,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
39,0,26,226,1.6,36,0.484,1.282,10.108,CNC Turning -1,20210045,Healthy State,NA
48,1,26,226,1.6,30,0.431,1.802,9.121,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
57,0,26,226,1,31,0.336,1.145,9.145,CNC Turning -1,20210045,Healthy State,NA
68,0,26,226,1.6,36,0.373,1.29,9.125,CNC Turning -2,20210045,Healthy State,NA
18,0,26,226,1,30,0.461,1.123,9.133,CNC Turning -1,20210045,Healthy State,NA
1,1,26,226,2.1,30,0.488,1.123,9.137,CNC Turning -2,20210045,Electrical Model,Motor Current Above the Motor Rated Voltage 
81,1,26,226,1,30,0.384,1.182,9.121,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
65,0,26,226,1,32,0.465,1.352,9.148,CNC Turning -2,20210045,Healthy State,NA
4,1,26,226,1,30,0.332,0.908,9.129,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
24,0,26,226,1,30,0.336,1.151,9.121,CNC Turning -2,20210045,Healthy State,NA
74,0,26,226,1,30,0.469,1.241,10.108,CNC Turning -1,20210045,Healthy State,NA
74,0,25,225,1,31,0.336,1.494,9.141,CNC Turning -2,20210046,Healthy State,NA
16,0,25,225,1,36,0.427,1.131,9.133,CNC Turning -1,20210045,Healthy State,NA
88,1,26,226,2,30,0.377,1.19,9.145,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
28,1,25,225,1,36,0.336,0.909,9.133,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
92,1,26,226,1,30,0.447,1.116,9.113,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
49,0,25,225,1,36,0.373,1.133,9.148,CNC Turning -2,20210045,Healthy State,NA
39,1,25,225,1,30,0.488,1.355,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
18,1,25,225,1,36,0.42,0.908,9.129,CNC Turning -2,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
80,0,25,225,1,36,0.404,1.148,9.121,CNC Turning -1,20210045,Healthy State,NA
81,1,25,225,1,33,0.423,1.178,9.121,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
65,0,25,225,1.6,30,0.336,1.131,9.137,CNC Turning -2,20210046,Healthy State,NA
79,1,25,225,1.5,30,0.373,1.586,8.713,CNC Turning -2,20210046,Vibration Model,Z vibration is lower than Rated Z vibration
19,0,25,225,1.5,30,0.431,1.282,9.121,CNC Turning -2,20210045,Healthy State,NA
58,1,25,225,1.5,36,0.484,1.243,10.202,CNC Turning -2,20210045,Vibration Model,Z vibration is Higher than Rated Z vibration
76,0,25,225,1.5,30,0.373,1.578,9.125,CNC Turning -2,20210045,Healthy State,NA
92,1,25,225,1.5,30,0.427,1.174,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
92,1,25,225,1.5,30,0.388,1.108,9.141,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
52,0,25,225,1.5,30,0.48,1.494,9.125,CNC Turning -1,20210045,Healthy State,NA
29,1,25,225,1.5,30,0.427,0.905,9.121,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
65,1,25,225,1.6,35,0.377,0.912,9.145,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
8,0,25,225,1.6,30,0.423,1.29,9.125,CNC Turning -1,20210045,Healthy State,NA
53,1,24,224,1.6,34,0.469,1.802,9.105,CNC Turning -1,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
40,0,25,225,1.6,31,0.48,1.12,9.117,CNC Turning -1,20210045,Healthy State,NA
46,1,23,223,1.6,31,0.484,0.908,9.125,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
5,0,24,224,1.6,37,0.373,1.243,9.117,CNC Turning -1,20210045,Healthy State,NA
41,0,24,224,1.6,34,0.404,1.145,9.125,CNC Turning -1,20210045,Healthy State,NA
12,1,24,224,1.6,35,0.373,1.237,10.206,CNC Turning -2,20210045,Vibration Model,Z vibration is Higher than Rated Z vibration
65,0,24,224,1.6,31,0.373,1.239,9.121,CNC Turning -1,20210045,Healthy State,NA
80,1,24,224,1.6,37,0.416,0.912,9.133,CNC Turning -2,20210046,Vibration Model,Y vibration is lower than Rated Y vibration
93,1,25,225,1.6,30,0.396,0.125,9.152,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
63,1,24,224,1.6,32,0.461,1.586,8.713,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
77,1,24,224,1.6,31,0.404,1.235,8.729,CNC Turning -1,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
65,1,24,224,1.6,38,0.48,1.282,10.202,CNC Turning -2,20210046,Vibration Model,Z vibration is Higher than Rated Z vibration
92,1,24,224,1.6,31,0.373,1.178,9.121,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
62,0,24,224,1.6,33,0.427,1.166,9.121,CNC Turning -2,20210045,Healthy State,NA
52,0,24,224,1,31,0.332,1.163,9.145,CNC Turning -1,20210045,Healthy State,NA
85,1,24,224,1.6,32,0.388,1.151,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
92,1,24,224,1,31,0.423,1.178,9.125,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
92,1,24,224,1,31,0.404,0.109,9.145,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
88,1,24,224,1,32,0.431,0.117,9.121,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
80,0,24,224,1,31,0.332,1.116,9.137,CNC Turning -1,20210045,Healthy State,NA
58,0,24,224,1,32,0.48,1.159,9.125,CNC Turning -2,20210045,Healthy State,NA
55,0,24,224,1,32,0.373,1.352,9.152,CNC Turning -1,20210045,Healthy State,NA
33,0,23,223,1,34,0.404,1.574,9.137,CNC Turning -1,20210045,Healthy State,NA
19,1,28,228,0.8,29,0.48,1.494,9.117,CNC Turning -1,20210045,Electrical Model,Motor Current below the Motor Rated Voltage 
1,1,26,226,2.1,30,0.488,1.123,9.137,CNC Turning -2,20210045,Electrical Model,Motor Current Above the Motor Rated Voltage 
85,1,23,223,2,38,0.404,1.186,9.125,CNC Turning -2,20210046,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
65,0,23,223,1,36,0.431,1.151,9.133,CNC Turning -2,20210046,Healthy State,NA
80,0,23,223,1,32,0.336,1.131,9.141,CNC Turning -2,20210045,Healthy State,NA
41,1,23,223,1,34,0.336,1.586,8.729,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
65,0,23,223,1,32,0.423,1.12,9.121,CNC Turning -1,20210045,Healthy State,NA
65,0,23,223,1,38,0.337,1.352,9.156,CNC Turning -1,20210045,Healthy State,NA
43,0,23,223,1,32,0.404,1.163,9.121,CNC Turning -1,20210045,Healthy State,NA
80,0,23,223,1,34,0.423,1.504,9.133,CNC Turning -1,20210045,Healthy State,NA
55,0,23,223,1.5,33,0.412,1.163,9.125,CNC Turning -1,20210045,Healthy State,NA
88,1,24,224,1.5,34,0.388,1.159,9.145,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
17,0,24,224,1.5,35,0.377,1.163,9.121,CNC Turning -1,20210045,Healthy State,NA
86,1,24,224,1.5,34,0.423,1.174,9.129,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
3,0,25,225,1.5,31,0.488,1.151,9.156,CNC Turning -1,20210045,Healthy State,NA
81,1,27,227,1.5,29,0.377,1.194,9.109,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
93,1,27,227,1.5,35,0.42,1.151,9.125,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
65,0,30,230,1.5,28,0.484,1.131,9.148,CNC Turning -2,20210046,Healthy State,NA
55,1,34,234,1.6,27,0.377,0.909,9.125,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
25,1,35,235,1.6,25,0.431,1.498,8.729,CNC Turning -2,20210046,Vibration Model,Z vibration is lower than Rated Z vibration
93,1,36,236,1.6,25,0.396,1.104,9.145,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
82,1,38,238,1.6,24,0.38,1.182,9.121,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
13,0,38,238,1.6,24,0.439,1.117,9.121,CNC Turning -1,20210045,Healthy State,NA
19,0,38,238,1.6,24,0.373,1.123,9.137,CNC Turning -2,20210045,Healthy State,NA
86,1,39,239,1.6,23,0.416,1.116,9.125,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
60,1,40,240,1.6,23,0.992,1.19,9.133,CNC Turning -2,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
81,1,41,241,1.6,23,0.456,1.123,9.148,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
80,1,42,242,1.6,22,0.957,0.148,9.113,CNC Turning -2,20210045,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
93,1,42,242,1.6,23,0.388,1.143,9.125,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
43,0,32,242,1.6,22,0.404,1.504,9.137,CNC Turning -1,20210045,Healthy State,NA
63,1,33,243,1.6,21,0.465,1.237,8.709,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
45,0,33,244,1.6,21,0.408,1.241,9.125,CNC Turning -1,20210045,Healthy State,NA
93,1,44,244,1.6,21,0.408,1.112,9.121,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
77,0,39,239,1.6,23,0.469,1.121,9.121,CNC Turning -2,20210045,Healthy State,NA
9,0,33,243,1,21,0.408,1.148,9.121,CNC Turning -2,20210046,Healthy State,NA
60,1,45,245,1.6,20,1.016,1.131,9.129,CNC Turning -2,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
62,1,33,243,1,22,0.416,1.504,8.729,CNC Turning -2,20210045,Vibration Model,Z vibration is lower than Rated Z vibration
82,1,43,243,1,21,0.365,1.17,9.117,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
29,0,32,242,1,26,0.42,1.147,9.125,CNC Turning -2,20210045,Healthy State,NA
65,1,39,239,1,23,0.984,0.141,9.152,CNC Turning -1,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
72,1,30,240,1,23,0.484,0.908,9.137,CNC Turning -1,20210045,Vibration Model,Y vibration is lower than Rated Y vibration
16,0,39,239,1,23,0.484,1.121,9.117,CNC Turning -1,20210045,Healthy State,NA
56,0,38,238,1,24,0.373,1.237,9.137,CNC Turning -1,20210046,Healthy State,NA
80,1,38,238,1,24,1,1.108,9.129,CNC Turning -1,20210045,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
40,0,39,239,2,26,0.48,1.282,9.125,CNC Turning -1,20210045,Healthy State,NA
57,0,37,237,1,24,0.469,1.129,9.137,CNC Turning -1,20210046,Healthy State,NA
88,1,37,237,1,27,0.388,1.147,9.137,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
93,1,43,243,1,21,0.42,1.143,9.129,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
20,0,32,242,1,22,0.469,1.513,9.141,CNC Turning -2,20210045,Healthy State,NA
12,0,38,238,1,24,0.404,1.163,9.133,CNC Turning -1,20210045,Healthy State,NA
57,1,38,238,1,30,0.435,1.163,8.729,CNC Turning -2,20210046,Vibration Model,Z vibration is lower than Rated Z vibration
65,1,42,242,1,22,0.973,1.194,9.141,CNC Turning -1,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
50,0,32,242,1.6,22,0.336,1.166,9.137,CNC Turning -2,20210045,Healthy State,NA
42,0,38,238,1.5,24,0.431,1.235,9.133,CNC Turning -1,20210045,Healthy State,NA
49,0,38,238,1.5,24,0.461,1.156,9.152,CNC Turning -2,20210045,Healthy State,NA
65,0,36,236,1.5,25,0.404,1.159,9.133,CNC Turning -1,20210045,Healthy State,NA
65,1,38,238,1.5,27,1.027,1.135,9.125,CNC Turning -2,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
92,1,41,241,1.5,22,0.412,1.143,9.125,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
9,1,33,243,1.5,24,0.488,1.97,10.108,CNC Turning -1,20210046,Vibration Model,Y vibration is higher than Rated Y vibration
48,0,33,243,1.5,21,0.377,1.163,9.117,CNC Turning -2,20210046,Healthy State,NA
49,0,38,238,1.6,24,0.416,1.163,9.125,CNC Turning -2,20210046,Healthy State,NA
65,1,38,238,1.6,29,0.977,1.19,9.156,CNC Turning -1,20210046,Thermal Model,Temperature Inside the Motor is greater than (stator Temp/ Rotor Temp)  Motor Rated Temp with respective humidity
36,0,35,235,1.6,25,0.377,1.574,9.125,CNC Turning -2,20210045,Healthy State,NA
60,0,35,235,1.6,25,0.427,1.159,9.125,CNC Turning -1,20210046,Healthy State,NA
81,1,33,233,1.6,26,0.38,1.163,9.145,CNC Turning -1,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
24,1,33,233,1.6,26,0.469,1.802,9.121,CNC Turning -2,20210045,Vibration Model,Y vibration is higher than Rated Y vibration
60,0,31,231,1.6,27,0.408,1.166,9.125,CNC Turning -2,20210046,Healthy State,NA
65,0,31,231,1.6,27,0.377,1.235,10.105,CNC Turning -2,20210046,Healthy State,NA
63,0,31,231,1.6,30,0.48,1.29,9.121,CNC Turning -2,20210046,Healthy State,NA
93,1,30,230,1.6,28,0.439,0.109,9.117,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
92,1,30,230,1.6,28,0.388,1.104,9.137,CNC Turning -2,20210045,Lifetime Model,Exceeded Motor Running Hours as respective Manufacture Rated Lifespan of that motor
65,0,31,231,1.6,27,0.48,1.166,9.125,CNC Turning -1,20210046,Healthy State,NA
